a.d	a.d.
licencing	licensing
license	licence
licenses	licences
lightening	lightning
likelyhood	likelihood
lillies	lilies
lilly	lily
limite	limit
limitted	limited
lingring	lingering
linnen	linen
liquour	liquor
liquours	liquors
listned	listened
listning	listening
liter	litre
liters	litres
lites	lights
litle	little
littel	little
litteral	literal
litterally	literally
ll.d	ll.d.
loaths	loathes
lodgment	lodgement
logick	logic
longe	long
looke	look
lookt	looked
lopt	lopped
lorde	lord
lordes	lords
louver	louvre
louvered	louvred
louvers	louvres
lowe	low
lowring	lowering
loyaltie	loyalty
lud	lord
lunatick	lunatic
lunaticks	lunatics
luster	lustre
lyable	liable
lyar	liar
lyars	liars
lyes	lies
lyfe	life
lyke	like
lyme	lime
lyon	lion
lyon's	lion's
lyrick	lyric
m.a	m.a.
m.d	m.d.
m.p	m.p.
mackarel	mackerel
madamoiselle	mademoiselle
madona	madonna
maestricht	maastricht
magick	magic
magnifick	magnific
magpye	magpie
mahomed	mohammed
mahometans	muslims
mahommed	mohammed
mahummad	mohammed
maie	may
maieftie	majesty
maintainance	maintenance
maister	master
majeftick	majestic
majeftie	majesty
majestick	majestic
majestie	majesty
mak	make
makeing	making
maladie	malady
malecontent	malcontent
malecontents	malcontents
mandarines	mandarins
maner	manner
manere	manner
maneuver	manoeuvre
maneuverability	manoeuvrability
maneuverable	manoeuvrable
maneuvered	manoeuvred
maneuvering	manoeuvring
maneuverings	manoeuvrings
maneuvers	manoeuvres
manie	many
manifestlie	manifestly
manne	man
mannor	manor
manour	manor
marche	march
marcht	marched
mareschal	marshal
margent	margin
mariage	marriage
marke	mark
marle	marl
marque	mark
marquiss	marquis
marr	mar
marryed	married
marshaled	marshalled
marshaling	marshalling
marshall	marshal
marte	mart
marveled	marvelled
marveling	marvelling
marvelous	marvellous
marvelously	marvellously
masse	mass
mathematicks	mathematics
mathew	matthew
mathews	matthews
mattins	matins
mattrass	mattress
maxime	maxim
maye	may
mayne	main
mayst	mayest
md	m.d.
meade	mead
meager	meagre
meandring	meandering
meanes	means
mechanick	mechanic
mechanicks	mechanics
medieval	mediaeval
medling	meddling
medly	medley
mee	me
meer	mere
meerly	merely
melancholly	melancholy
melvil	melville
memoires	memoirs
memorandums	memoranda
memorie	memory
mene	mean
merchandize	merchandise
mercie	mercy
mery	merry
messuage	message
metaphysicks	metaphysics
meteorologie	meteorology
meter	metre
meters	metres
micrometer	micrometre
micrometers	micrometres
midwifry	midwifery
mie	my
miferie	misery
mightie	mighty
milligram	milligramme
milligrams	milligrammes
milliliter	millilitre
milliliters	millilitres
millimeter	millimetre
millimeters	millimetres
mimick	mimic
mimickry	mimicry
mimicks	mimics
minde	mind
minibusses	minibuses
ministrie	minstry
ministring	ministering
mirrour	mirror
misbehavior	misbehaviour
misdemeanor	misdemeanour
misdemeanors	misdemeanours
mistery	mystery
mistick	mystic
miter	mitre
miters	mitres
mixt	mixed
modeftie	modestie
modeled	modelled
modeler	modeller
modelers	modellers
modeling	modelling
modestie	modesty
mold	mould
molded	moulded
molder	moulder
moldered	mouldered
moldering	mouldering
molders	moulders
moldier	mouldier
moldiest	mouldiest
molding	moulding
moldings	mouldings
molds	moulds
moldy	mouldy
molt	moult
molted	moulted
molten	melted
molting	moulting
molts	moults
molyneux	molineux
monarchie	monarchy
monarque	monarch
monastick	monastic
monastry	monastery
moneth	month
mongst	amongst
monied	moneyed
monies	moneys
monkies	monkeys
monolog	monologue
monologs	monologues
mony	money
morne	morn
mortifie	mortify
moscheto	mosquito
moschetoes	mosquitoes
moste	most
mought	might
mouldring	mouldering
moveable	movable
moveables	movables
moyle	moil
mp	m.p.
multicolored	multicoloured
murmure	murmur
murther	murder
murthered	murdered
murtherer	murderer
murtherers	murderers
murthering	murdering
murthers	murders
musick	music
musick's	music's
musquito	mosquito
musquitoes	mosquitoes
mussulman	musulman
mussulmanss	mohammedan
mustache	moustache
mustached	moustached
mustaches	moustaches
mustachioed	moustachioed
myn	mine
mynde	mind
myne	mine
mystick	mystic
n.b	n.b.
n.e	northeast
n.w	northwest
nathless	natheless
naught	nought
ne	northeast
neceffarie	necessary
necessarie	necessary
necessitie	necessity
neer	near
negociate	negotiate
negociated	negotiated
negociating	negotiating
negociation	negotiation
negociations	negotiations
negociator	negotiator
neice	niece
neighbor	neighbour
neighborhood	neighbourhood
neighborhoods	neighbourhoods
neighboring	neighbouring
neighborliness	neighbourliness
neighborly	neighbourly
neighbors	neighbours
nett	net
newbery	newberry
nich	niche
nipt	nipped
nobilitie	nobility
noe	no
nonsence	nonsense
notifie	notify
nowe	now
numbred	numbered
nunquam	numquam
nurst	nursed
nusance	nuisance
nutt	nut
nw	northwest
o'erflowing	overflowing
oates	oats
obeysance	obeisance
occured	occurred
odly	oddly
odor	odour
odorless	odourless
odors	odours
oeconomical	economical
oeconomy	economy
offense	offence
offenses	offences
oftner	oftener
oker	ochre
olde	old
omelet	omelette
omelets	omelettes
onely	only
onlie	only
ony	any
opake	opaque
ope	open
openlie	openly
opes	opens
opportunitie	opportunity
opprest	oppressed
opticks	optics
oratione	oration
orbe	orb
ordre	order
ordred	ordered
orientale	oriental
orthopedic	orthopaedic
orthopedics	orthopaedics
othe	oath
ould	old
ound	owned
ourself	ourselves
outmaneuver	outmanoeuvre
outmaneuvered	outmanoeuvred
outmaneuvering	outmanoeuvring
outmaneuvers	outmanoeuvres
outragious	outrageous
outstript	outstripped
overborn	overborne
overburthened	overburdened
overlie	overly
owne	own
oyl	oil
p.m	p.m.
p.s	p.s.
p.s	p.s.
pacifick	pacific
pacquets	packets
paire	pair
pajama	pyjama
pajamas	pyjamas
paket	packet
paleolithic	palaeolithic
paleontologist	palaeontologist
paleontologists	palaeontologists
paleontology	palaeontology
pallisadoes	palisades
panegyrick	panegyric
panegyricks	panegyrics
paneled	panelled
paneling	panelling
panelist	panellist
panelists	panellists
panick	panic
pannels	panels
papistrie	papistry
paradice	paradise
paralytick	paralytic
paralyze	paralyse
paralyzed	paralysed
paralyzes	paralyses
paralyzing	paralysing
parceled	parcelled
parceling	parcelling
parentes	parents
parlement	parliament
parlor	parlour
parlors	parlours
parly	parley
paroxism	paroxysm
partes	parts
particulary	particularly
partie	party
partizans	partisans
partlie	partly
passe	pass
pathetick	pathetic
patrimonie	patrimony
patriotick	patriotic
patrole	patrol
paultry	paltry
pavillion	pavilion
payed	paid
payne	pain
pearch	perch
pease	peas
pecock	peacock
pedaled	pedalled
pedaling	pedalling
pedantick	pedantic
pederast	paederast
pederasts	paederasts
pediatric	paediatric
pediatrician	paediatrician
pediatricians	paediatricians
pediatrics	paediatrics
pedophile	paedophile
pedophiles	paedophiles
pedophilia	paedophilia
peele	peel
peice	piece
peices	pieces
peine	pain
penciled	pencilled
penciling	pencilling
pennance	penance
peny	penny
perche	perch
pere	peer
perfeck	perfect
perfectlie	perfectly
perplext	perplexed
perriwig	periwig
perriwigs	periwigs
persidious	perfidious
persidy	perfidy
persone	person
personne	person
persue	pursue
persued	pursued
persume	presume
perswade	persuade
perswaded	persuaded
perswades	persuades
perswading	persuading
perswasion	persuasion
perswasions	persuasions
perswasive	persuasive
ph.d	ph.d
phaenomena	phenomena
phaenomenon	phenomenon
phantasie	fantasy
phantastic	fantastic
phantasy	fantasy
phantome	phantom
pharmacopeia	pharmacopoeia
pharmacopeias	pharmacopoeias
phebe	phoebe
phenix	phoenix
philologie	philology
philosophick	philosophic
philosophie	philosophy
phlegmatick	phlegmatic
phoenomena	phenomena
phrensy	frenzy
phrenzy	frenzy
physick	physic
physicks	physics
phænomena	phenomena
phœbus	phoebus
phœnicia	phoenicia
phœnicians	phoenicians
pickt	picked
pidgeon	pigeon
pidgeons	pigeons
pinacle	pinnacle
pindarick	pindaric
pistole	pistol
pitty	pity
plaine	plain
plaister	plaster
plaistered	plastered
plaistering	plastering
plaisters	plasters
platonick	platonic
platted	plaited
pleasaunce	pleasance
plein	plain
plow	plough
plowed	ploughed
plowing	ploughing
plowman	ploughman
plowmen	ploughmen
plows	ploughs
plowshare	ploughshare
plowshares	ploughshares
pluckt	plucked
plyant	pliant
plyed	plied
poefie	poesy
poesie	poesy
poete	poet
poetes	poets
poetick	poetic
poetrie	poetry
poictiers	poitiers
poize	poise
poized	poised
poizes	poises
policie	policy
politick	politic
politickly	politicly
politicks	politics
politique	politic
pondere	ponder
ponyard	poigniard
poole	pool
poore	poor
popt	popped
porte	port
portugueze	portuguese
posses	possess
possest	possessed
postcript	postscript
poste	post
posteritie	posterity
pouf	pouffe
poufs	pouffes
pourtray	portray
pourtrayed	portrayed
pourtraying	portraying
pourtrays	portrays
poyson	poison
practiced	practised
practices	practises
practicing	practising
practise	practice
praeternatural	preternatural
preceeded	preceded
preceeding	preceding
prefered	preferred
prefering	preferring
prefixt	prefixed
premisses	premises
presente	present
presidium	praesidium
presidiums	praesidiums
presse	press
prest	pressed
pretense	pretence
pretenses	pretences
prethee	prithee
pretious	precious
primeval	primaeval
princesse	princess
privie	privy
priviledge	privilege
priviledges	privileges
profest	professed
prognostick	prognostic
program	programme
programs	programmes
prolifick	prolific
prolog	prologue
prologs	prologues
propertie	property
prophanation	profanation
prophane	profane
prophanely	profanely
prophaneness	profaneness
prophesie	prophecy
prophesies	prophecies
prophetick	prophetic
propre	proper
propt	propped
prosessed	processed
prosession	procession
prosperitie	prosperity
provencial	provincial
prythee	prithee
præternatural	preternatural
prætorian	praetorian
ps	p.s.
psychoanalyze	psychoanalyse
psychoanalyzed	psychoanalysed
psychoanalyzes	psychoanalyses
psychoanalyzing	psychoanalysing
ptolomy	ptolemy
publica	publicam
publick	public
publickly	publicly
publique	public
pummel	pummelled
pummeled	pummelling
purchas	purchase
puritie	purity
putt	put
pye	pie
pyes	pies
pyle	pile
pyrates	pirates
pzazz	pizzazz
quadrupedes	quadrupeds
qualifie	qualify
qualitie	quality
quantitie	quantity
quarreled	quarrelled
quarreling	quarrelling
queene	queen
quene	queen
quickning	quickening
quippe	quip
quire	choir
r.a	r.a.
rabbins	rabbis
railery	raillery
rallyed	rallied
rancor	rancour
rase	raze
ratling	rattling
raveled	ravelled
raveling	ravelling
rayment	raiment
reade	read
readie	ready
reafonabie	reasonable
realme	realm
rebelles	rebels
recal	recall
recals	recalls
recompence	recompense
recompenced	recompensed
recompences	recompenses
reconnoiter	reconnoitre
reconnoitered	reconnoitred
reconnoitering	reconnoitring
reconnoiters	reconnoitres
rectifie	rectify
redrest	redressed
referre	refer
reflexion	reflection
reflexions	reflections
refueled	refuelled
refueling	refuelling
registred	registered
regreted	regretted
rejoyce	rejoice
rejoyced	rejoiced
rejoycing	rejoicing
relick	relic
relicks	relics
relie	rely
religione	religion
relique	relic
reliques	relics
remedie	remedy
remembred	remembered
remembring	remembering
remodeled	remodelled
remodeling	remodelling
remold	remould
remolded	remoulded
remolding	remoulding
remolds	remoulds
removeable	removable
rendre	render
rendred	rendered
rendring	rendering
repell	repel
replyed	replied
represt	repressed
republick	republic
republicks	republics
resined	resigned
reste	rest
reveled	revelled
reveler	reveller
revelers	revellers
reveling	revelling
revery	reverie
rhetorick	rhetoric
rhiming	rhyming
riband	ribbon
ribands	ribbons
ribband	ribbon
ribbands	ribbons
riche	rich
richlieu	richelieu
rigor	rigour
rigors	rigours
rime	rhyme
rimes	rhymes
risqued	risked
rivaled	rivalled
rivaling	rivalling
rivalship	rivalry
rivetted	riveted
rolle	roll
romantick	romantic
rooke	rook
roome	room
roseat	roseate
rosie	rosy
rosse	rose
rouze	rouse
rouzed	roused
rowe	row
rowl	roll
rowling	rolling
royale	royal
rubrick	rubric
ruine	ruin
ruines	ruins
rumor	rumour
rumored	rumoured
rumors	rumours
rustick	rustic
rusticks	rustics
ryder	rider
s'death	sdeath
s.e	southeast
s.w	southwest
saber	sabre
sabers	sabres
saide	said
saie	say
sailers	sailors
sainte	saint
salique	salic
sall	shall
sallad	salad
sallads	salads
sallary	salary
saltpeter	saltpetre
sarcastick	sarcastic
sarvant	servant
sate	sat
satisfie	satisfy
satisfyed	satisfied
satten	satin
sattin	satin
sattins	satins
satyre	satire
satyrical	satirical
satyrist	satirist
satyrists	satirists
saue	save
savior	saviour
saviors	saviours
savor	savour
savored	savoured
savories	savouries
savoring	savouring
savors	savours
savory	savoury
sawcy	saucy
sawe	saw
sayd	said
saye	say
sayst	sayest
scape	escape
scapes	escapes
scepter	sceptre
sceptered	sceptred
scepters	sceptres
schismaticks	schismatics
scholastick	scholastic
scientifick	scientific
scissars	scissors
scite	site
scituation	situation
scotish	scottish
scribler	scribbler
scriblers	scribblers
scribling	scribbling
scrophulous	scrofulous
sculk	skulk
sculking	skulking
sculks	skulks
se	southeast
seale	seal
secresy	secrecy
securitie	security
seeke	seek
seeme	seem
seene	seen
seenes	scenes
seige	siege
seised	seized
selden	seldom
selfe	self
sence	sense
sences	senses
sene	seen
sensless	senseless
sentimentalitie	sentimentality
seperate	separate
seperated	separated
sepulcher	sepulchre
sepulchers	sepulchres
sequestred	sequestered
seraphick	seraphic
serjeant	sergeant
serjeant's	sergeant's
serjeants	sergeants
sermone	sermon
serv	serve
servent	servant
sese	seize
setled	settled
setling	settling
sett	set
sette	set
setts	sets
severall	several
sha'n't	shan't
shakespear	shakespeare
shakespear's	shakespeare's
shakspear	shakespeare
shakspeare	shakespeare
shakspeare's	shakespeare's
shal	shall
shamefullie	shamefully
sharpe	sharp
shee	she
shew	show
shewe	show
shewed	showed
sheweth	showeth
shewing	showing
shewn	shown
shews	shows
shewy	showy
shipwrack	shipwreck
shoar	shore
shortlie	shortly
shortned	shortened
shoud	should
shouldest	shouldst
shoveled	shovelled
shoveling	shovelling
shriveled	shrivelled
shriveling	shrivelling
shrowd	shroud
shrowded	shrouded
shuld	should
sidelity	fidelity
sierce	fierce
sieze	seize
signaled	signalled
signaling	signalling
signe	sign
signifie	signify
silvan	sylvan
similies	similes
siphon	syphon
siphoned	syphoned
siphoning	syphoning
siphons	syphons
sirname	surname
sirnamed	surnamed
sirnames	surnames
sixt	sixth
skeptic	sceptic
skeptical	sceptical
skeptically	sceptically
skepticism	scepticism
skeptics	sceptics
skie	sky
skillful	skilful
skreen	screen
skreens	screens
slipt	slipped
smelt	smelled
smoak	smoke
smoaked	smoked
smoaking	smoking
smoaks	smokes
smoaky	smoky
smolder	smoulder
smoldered	smouldered
smoldering	smouldering
smolders	smoulders
smoothe	smooth
snapt	snapped
snatcht	snatched
sniveled	snivelled
sniveling	snivelling
snorkeled	snorkelled
snorkeling	snorkelling
snowplow	snowplough
soe	so
softned	softened
softning	softening
solem	solemn
solemnitie	solemnity
sollicit	solicit
sollicitation	solicitation
sollicitations	solicitations
sollicite	solicit
sollicited	solicited
solliciting	soliciting
sollicitor	solicitor
sollicitous	solicitous
sollicits	solicits
sollicitude	solicitude
som	some
somber	sombre
sommes	sums
sonne	son
sonnes	sons
soo	so
soone	soon
sorce	source
sorte	sort
sortes	sorts
sorth	forth
sould	should
souldiers	soldiers
soule	soul
soules	souls
soveraign	sovereign
sowre	sour
spanifh	spanish
speake	speak
specifick	specific
specter	spectre
specters	spectres
speedie	speedy
speke	speak
spelt	spelled
spight	spite
spilt	spilled
spiraled	spiralled
spiraling	spiralling
splendor	splendour
splendors	splendours
splenetick	splenetic
springes	springs
sprit	spirit
spunge	sponge
spunging	sponging
spungy	spongy
squirreled	squirrelled
squirreling	squirrelling
staines	stains
stampt	stamped
stanch	staunch
sted	stead
steddy	steady
stedfast	steadfast
stedfastly	steadfastly
stedfastness	steadfastness
stenciled	stencilled
stenciling	stencilling
stept	stepped
steril	sterile
stil	still
stile	style
stiled	styled
stiles	styles
stiling	styling
stilness	stillness
stoick	stoic
stoicks	stoics
stollen	stolen
stoln	stolen
stoped	stopped
stopt	stopped
storey	story
storeys	stories
stowe	stow
stradling	straddling
straiten	straighten
straitened	straightened
straitway	straightway
streight	straight
streights	straights
strengthned	strengthened
strengthning	strengthening
stretcht	stretched
stript	stripped
stroak	stroke
stroaked	stroked
stroaking	stroking
stroaks	strokes
stroling	strolling
strugling	struggling
strype	stripe
studie	study
stuft	stuffed
subsistance	subsistence
subtil	subtle
subtile	subtle
subtilties	subtleties
subtilty	subtlety
succeded	succeeded
succor	succour
succored	succoured
succoring	succouring
succors	succours
suche	such
suddain	sudden
sulfate	sulphate
sulfates	sulphates
sulfide	sulphide
sulfides	sulphides
sulfur	sulphur
sulfurous	sulphurous
summ	sum
summe	sum
sundrie	sundry
sunne	sun
superiour	superior
superiours	superiors
supplie	supply
supplyed	supplied
supprest	suppressed
supream	supreme
surpast	surpassed
surprize	surprise
surprized	surprised
surprizes	surprises
surprizing	surprising
surprizingly	surprisingly
surrendred	surrendered
suspence	suspense
sute	suit
sw	southwest
swiveled	swivelled
swiveling	swivelling
swolen	swollen
swoln	swollen
syde	side
sylvius	silvius
symetry	symmetry
sympathetick	sympathetic
syn	sin
syrens	sirens
systematick	systematic
takeing	taking
tasseled	tasselled
tast	taste
tawney	tawny
taylors	tailors
teaze	tease
teazed	teased
teazes	teases
teazing	teasing
technicolor	technicolour
teftifie	testify
teftimonie	testimony
teize	tease
teized	teased
teizing	teasing
telle	tell
tendre	tender
tenour	tenor
terme	term
termes	terms
terrifick	terrific
terrifie	terrify
terrour	terror
terrours	terrors
testifie	testify
thankfullie	thankfully
theater	theatre
theatergoer	theatregoer
theatergoers	theatregoers
theaters	theatres
thei	they
themistocles	themistocles
themselve	themselves
themseves	themselves
theologie	theology
ther	there
therefor	therefore
therfore	therefore
thes	these
thier	their
thinke	think
thir	their
thirtie	thirty
tho	though
tholouse	toulouse
thorne	thorn
thornie	thorny
thorow	thorough
thos	those
thre	three
threatned	threatened
threatning	threatening
threatnings	threatenings
thriftie	thrifty
thro	through
throughly	thoroughly
tht	that
thundring	thundering
tickell	tickle
til	till
timerous	timorous
tinie	tiny
tipsey	tipsy
tipt	tipped
tire	tyre
tires	tyres
tollerable	tolerable
tollerably	tolerably
tomarrow	tomorrow
tombe	tomb
ton	tonne
tons	tonnes
tooke	took
topick	topic
topicks	topics
topt	topped
torne	torn
tost	tossed
touche	touch
toucht	touched
toweled	towelled
toweling	towelling
towne	town
towring	towering
toxemia	toxaemia
traffick	traffic
tragedie	tragedy
tragick	tragic
tragicomick	tragicomic
traiterous	traitorous
traiterously	traitorously
tranquility	tranquillity
trapp	trap
trappe	trap
traveled	travelled
traveler	traveller
travelers	travellers
traveling	travelling
travelog	travelogue
travelogs	travelogues
traytor	traitor
traytor's	traitor's
traytors	traitors
treatie	treaty
trew	true
trewe	true
trialed	trialled
trialing	trialling
tricolor	tricolour
tricolors	tricolours
triffling	trifling
tripple	triple
tript	trip
tropicks	tropics
trowsers	trousers
tru	true
truelie	truly
truely	truly
trulie	truly
tryal	trial
tryals	trials
tryed	tried
tumor	tumour
tumors	tumours
tunneled	tunnelled
tunneling	tunnelling
turkies	turkeys
turky	turkey
turne	turn
turnep	turnip
turneps	turnips
tyber	tiber
tyber's	tiber's
tyde	tied
tydes	tides
tydings	tidings
tye	tie
tyed	tied
tyes	ties
tyger	tiger
tyger's	tiger's
tygers	tigers
tygress	tigress
tyme	time
tymes	times
tyrannick	tyrannic
tyrannie	tyranny
tythe	tithe
tythes	tithes
unbiased	unbiassed
unbyassed	unbiassed
uncontrolable	uncontrollable
uncontroulable	uncontrollable
uncontrouled	uncontrolled
uneasie	uneasy
unequaled	unequalled
unfavorable	unfavourable
unfavorably	unfavourably
unhappie	unhappy
univerfitie	university
universitie	university
unmixt	unmixed
unpolite	impolite
unraveled	unravelled
unraveling	unravelling
unrivaled	unrivalled
unsavory	unsavoury
untill	until
untrammeled	untrammelled
unweildy	unwieldy
unwholsome	unwholesome
unworthie	unworthy
utterlie	utterly
vaine	vain
vallies	valleys
valor	valour
vapor	vapour
vapors	vapours
venemous	venomous
veri	very
verie	very
verifie	verify
veritie	verity
vermillion	vermilion
vermine	vermin
vertu	virtue
vertue	virtue
vertues	virtues
vertuous	virtuous
vext	vexed
victorie	victory
videodisk	videodisc
videodisks	videodiscs
vigor	vigour
villanies	villainies
villanous	villainous
villany	villainy
villenage	villeinage
villian	villain
violante	violent
virtu	virtue
vitious	vicious
vivifie	vivify
vollies	volleys
voluntarie	voluntary
voluntiers	vounteers
vulgare	vulgar
vultur	vulture
vulturs	vultures
vye	vie
waggon	wagon
waggoner	wagoner
waggons	wagons
wal	wall
wandred	wandered
wandring	wandering
warr	war
warre	war
warriour	warrior
warriour's	warrior's
warriours	warriors
watercolor	watercolour
watercolors	watercolours
watling	wattling
watry	watery
weakned	weakened
weare	wear
wearie	weary
weaseled	weaselled
weaseling	weaselling
weightie	weighty
weild	wield
wel	well
welchman	welshman
welchmen	welshmen
weltring	weltering
westmorland	westmoreland
wharfs	wharves
whch	which
wher	where
whereever	wherever
whic	which
whiche	which
whimsey	whimsy
whipt	whipped
whoe	who
wholesom	wholesome
wholsom	wholesome
wholsome	wholesome
whome	whom
wich	which
wil	will
wilfully	wilfully
willes	wills
willinglie	willingly
winde	wind
wintry	wintery
wisdome	wisdom
wisht	wished
withall	withal
wittie	witty
wizzard	wizard
wliicli	which
woful	woeful
wonderfull	wonderful
wonderous	wondrous
wondred	wondered
wondring	wondering
wonne	won
woolen	woollen
woolens	woollens
woolies	woollies
wooll	wool
wooly	woolly
worde	word
wordes	words
worke	work
workes	works
worlde	world
worldlie	worldly
worne	worn
worshiped	worshipped
worshipers	worshippers
worshiping	worshipping
worthie	worthy
woud	would
wouldest	wouldst
wrapt	wrapped
writeing	writing
writen	written
wrongfully	wrongfully
wth	with
wull	will
wyfe	wife
wyll	will
wynne	win
wyse	wise
wyth	with
yeare	year
yeares	years
yearlie	yearly
yee	ye
yeild	yield
yere	year
yoak	yoke
yodeled	yodelled
yodeling	yodelling
yoghourt	yogurt
yoghurt	yogurt
yoghurts	yogurts
yong	young
yonge	young
younge	young
yow	you
æconomy	economy
ægean	aegean
ægis	aegis
æolian	aeolian
æolus	aeolus
æra	era
ærie	eyrie
æry	airy
æsculapius	aesculapius
æsthetic	aesthetic
æsthetical	aesthetic
æsthetick	aesthetic
æsthetics	aesthetics
æternal	eternal
æther	aether
æther's	aether's
æthereal	aethereal
ætherial	aethereal
œconomy	economy
ʋnion	union
